54660-A4200 ABESTA;;AMORTECEDOR DE FRENTE CARENS / ROUND 13-16 / FORTE 014-;1;85000,00;;;
54650-A4200 ABESTA;;AMORTECEDOR DE FRENTE CARENS / ROUND 13-16 / FORTE 14-;1;85000,00;;;
333198;;AMORTECEDOR DE FRENTE CARINA-E 94-98 F/L / COROLLA 94-98;0;30000,00;;;SHB-3114
333197;;AMORTECEDOR DE FRENTE CARINA-E 94-98 F/R / COROLLA 94-98;0;30000,00;;;SHB-3113
41602-M68K00 KOYOBA;SHB-3566;AMORTECEDOR DE FRENTE CELERIO 09-12 F/L;1;40000,00;;;CLERIO 08- F/L (2-M68F) / SHB-3566
41601-M68K00 KOYOBA;SHB-3565;AMORTECEDOR DE FRENTE CELERIO 09-12 F/R;1;40000,00;;;CELERIO 08- F/R (1-M68F) / SHB-3565
54651-1M000 HYUNDAI;;AMORTECEDOR DE FRENTE CERATO / FORTE 016-2021;2;85000,00;;;
54661-1M000 HYUNDAI;;AMORTECEDOR DE FRENTE CERATO / FORTE 016-2021;2;85000,00;;;
54651-2F400 MANDO;A00101 LH;AMORTECEDOR DE FRENTE CERATO 1.6 06-09 FL;2;55300,00;;;SHB-3211 / 54651-2F100 / 54651-2F200 / 54651-2F300 / 333491
54661-2F400 MANDO;A00100 RH;AMORTECEDOR DE FRENTE CERATO 1.6 06-09 FR;2;55300,00;;;SHB-3210 / 54661-2F100 / 54661-2F200 / 54661-2F300 / 333490
95948811 KOYOBA;;AMORTECEDOR DE FRENTE CHEVROLET CAPTIVA 07-10 F/L;2;51500,00;;;96858475/96858479 SUZUKI XL7 07- / SHB-3597
95948812 KOYOBA;;AMORTECEDOR DE FRENTE CHEVROLET CAPTIVA 07-10 F/R;2;51500,00;;;SUZUKI XL7 07- 96858480 / SHB-3598
24526124;;AMORTECEDOR DE FRENTE CHEVROLET N300 06-14 F/L;0;40000,00;;;SHB-3624
24526127 ATKC;SHB-3623;AMORTECEDOR DE FRENTE CHEVROLET N300 06-14 F/R;1;35000,00;;;SHB-3623
96071861;;AMORTECEDOR DE FRENTE CHEVROLET SPARK 11- F/R;0;54500,00;;;SHB-3625
E4047 HHKC;345057;AMORTECEDOR DE FRENTE COASTER 83-93;3;27000,00;;;KYB:445063 / 345057/ KA3606A / SH-1188
339115 KOYOBA;;AMORTECEDOR DE FRENTE COROLLA 07-12 F/L;1;40000,00;;;48520-80140 / SHB-3546
339114 KOYOBA;;AMORTECEDOR DE FRENTE COROLLA 07-12 F/R;1;40000,00;;;48510-80384 / SHB-3545
333118;;AMORTECEDOR DE FRENTE COROLLA 86-92 F/R;0;30000,00;;;SHB-3091 / B3088
333119;R309;AMORTECEDOR DE FRENTE COROLLA 88-92 F/L;0;30000,00;;;SHB-3092 / B3089
333115 GEENTI;;AMORTECEDOR DE FRENTE COROLLA 93-96 F/L AE100;2;30000,00;;;B3091 / 48520-12610 / MR16176 / 4214-0043 / SHB-3087
333114 GEENTI;;AMORTECEDOR DE FRENTE COROLLA 93-96 F/R AE100;1;30000,00;;;MR16175 / 4214-0044 / SHB-3086
341260 KOYOBA;;AMORTECEDOR DE FRENTE DE HONDA CRV 97-01;0;35000,00;;;
54650-3J200 ABESTA;;AMORTECEDOR DE FRENTE DE HYUNDAI VERACRUZ / SANTAFE F/L;0;52500,00;;;
54660-3J200 ABESTA;;AMORTECEDOR DE FRENTE DE HYUNDAI VERACRUZ / SANTAFE F/R;0;52500,00;;;
444101 KYB;;AMORTECEDOR DE FRENTE DE MITS.CANTER / NISSAN PATHFINDER;0;30000,00;;;
B3220 TOKICO;;AMORTECEDOR DE FRENTE DE NISSAN X-TRAIL L;0;65000,00;;;334361
B3221 TOKICO;;AMORTECEDOR DE FRENTE DE NISSAN X-TRAIL R;0;65000,00;;;334360
